Habitaciones;Banos;Parqueaderos;Area_construida;Area_privada;Estrato;Estado;Anos;Administracion;Ascensor;Circuito_cerrado;Parqueadero_visitantes;Porteria;Zonas_verdes;Salon_comunal;Balcon;Barra_americana;Calentador;Chimenea;Citofono;Cocina_integral;Terraza;Vigilancia;Parques_cercanos;Estudio;Patio;Deposito;Tipo;Precio
1;1;1;39;0;5;No definida;0;260000;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;Apartamento;320000000
3;2;1;77,38;65,06;3;No definida;0;270000;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;Apartamento;410000000
3;2;1;77,38;65,06;3;No definida;0;270000;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;Apartamento;410000000
1;2;2;42;42;4;No definida;0;270000;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;320000000
1;2;2;42;42;4;No definida;0;270000;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;320000000
3;2;1;69;61;4;No definida;0;272400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;510000000
3;2;2;110;100;5;Excelente;0;280000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;699000000
3;2;1;72;65;3;Excelente;0;280000;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;Apartamento;429000000
1;1;0;45;45;3;Bueno;0;280000;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;Apartamento;287000000
2;2;1;58;52;4;Excelente;0;290000;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;Apartamento;330000000
2;2;1;58;52;4;Excelente;0;290000;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;Apartamento;330000000
3;2;2;97;0;5;Excelente;0;300000;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;1;Apartamento;670000000
3;2;1;78;0;5;Excelente;0;300000;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;Apartamento;510000000
